ep,lam_y_max,lam_z_max,grad_mag,grad_net,grad_r
12,0.40,0.51,4.71e-01,4.17e-02,0.09
24,0.40,0.52,3.76e-01,3.42e-02,0.09
36,0.40,0.52,4.75e-01,2.94e-02,0.06
48,0.40,0.52,6.81e-01,3.36e-02,0.05
60,0.40,0.52,4.68e-01,3.44e-02,0.07
72,0.41,0.52,4.81e-01,2.43e-02,0.05
84,0.41,0.52,6.45e-01,5.75e-02,0.09
96,0.41,0.52,4.71e-01,3.39e-02,0.07
108,0.41,0.52,4.05e-01,2.89e-02,0.07
120,0.41,0.52,5.44e-01,3.77e-02,0.07
132,0.41,0.52,4.28e-01,2.51e-02,0.06
144,0.41,0.52,4.44e-01,3.97e-02,0.09
156,0.41,0.52,5.74e-01,5.39e-02,0.09
168,0.41,0.52,5.22e-01,3.67e-02,0.07
180,0.41,0.52,4.29e-01,3.86e-02,0.09
192,0.41,0.52,4.84e-01,4.60e-02,0.09
204,0.41,0.52,3.97e-01,2.26e-02,0.06
216,0.41,0.52,5.06e-01,5.11e-02,0.10
228,0.41,0.52,4.32e-01,2.14e-02,0.05
240,0.42,0.51,4.31e-01,2.04e-02,0.05
252,0.41,0.51,5.63e-01,3.52e-02,0.06
264,0.41,0.51,4.11e-01,2.44e-02,0.06
276,0.41,0.51,3.43e-01,2.09e-02,0.06
288,0.41,0.51,4.44e-01,3.25e-02,0.07
300,0.41,0.51,4.81e-01,4.25e-02,0.09
312,0.42,0.51,5.38e-01,3.74e-02,0.07
324,0.42,0.51,4.25e-01,4.27e-02,0.10
336,0.42,0.51,4.58e-01,3.68e-02,0.08
348,0.42,0.51,4.07e-01,2.93e-02,0.07
360,0.42,0.51,4.64e-01,3.47e-02,0.07
372,0.42,0.51,3.94e-01,3.25e-02,0.08
384,0.42,0.51,4.89e-01,4.27e-02,0.09
396,0.42,0.51,4.52e-01,3.98e-02,0.09
408,0.42,0.51,4.47e-01,3.99e-02,0.09
420,0.42,0.50,3.82e-01,2.37e-02,0.06
432,0.42,0.50,4.37e-01,2.75e-02,0.06
444,0.42,0.50,4.47e-01,4.17e-02,0.09
456,0.41,0.50,4.43e-01,3.21e-02,0.07
468,0.41,0.50,4.15e-01,3.57e-02,0.09
480,0.41,0.50,4.12e-01,3.54e-02,0.09
492,0.41,0.50,5.68e-01,5.12e-02,0.09
504,0.42,0.50,4.12e-01,2.20e-02,0.05
516,0.42,0.50,4.30e-01,3.24e-02,0.08
528,0.42,0.50,5.05e-01,3.63e-02,0.07
540,0.42,0.50,5.83e-01,4.85e-02,0.08
552,0.42,0.50,4.05e-01,2.97e-02,0.07
564,0.42,0.50,4.76e-01,2.63e-02,0.06
576,0.42,0.51,4.62e-01,3.82e-02,0.08
588,0.42,0.51,5.12e-01,3.11e-02,0.06
600,0.42,0.51,3.66e-01,2.17e-02,0.06
612,0.42,0.51,5.24e-01,5.29e-02,0.10
624,0.42,0.51,5.56e-01,3.94e-02,0.07
636,0.42,0.51,3.46e-01,2.48e-02,0.07
648,0.42,0.51,4.00e-01,2.66e-02,0.07
660,0.42,0.51,5.08e-01,3.22e-02,0.06
672,0.42,0.51,5.02e-01,3.42e-02,0.07
684,0.42,0.51,4.44e-01,3.17e-02,0.07
