cum_ep,lam_y_inf,lam_z_inf,ramp,src_result,src_ep
12,0.49,0.49,0.2,result_5,12
24,0.49,0.49,0.2,result_5,24
36,0.49,0.49,0.2,result_5,36
48,0.49,0.49,0.2,result_5,48
60,0.49,0.49,0.2,result_5,60
72,0.49,0.5,0.2,result_5,72
84,0.49,0.5,0.2,result_5,84
96,0.49,0.5,0.2,result_5,96
108,0.49,0.5,0.2,result_5,108
120,0.49,0.5,0.2,result_5,120
132,0.49,0.5,0.2,result_5,132
144,0.49,0.5,0.2,result_5,144
156,0.5,0.5,0.2,result_5,156
168,0.5,0.5,0.2,result_5,168
180,0.5,0.5,0.2,result_5,180
192,0.5,0.5,0.2,result_5,192
204,0.5,0.5,0.2,result_5,204
216,0.5,0.5,0.2,result_5,216
228,0.5,0.5,0.2,result_5,228
240,0.5,0.5,0.2,result_5,240
252,0.5,0.5,0.2,result_5,252
264,0.5,0.5,0.2,result_5,264
276,0.5,0.49,0.2,result_5,276
288,0.5,0.49,0.2,result_5,288
300,0.5,0.49,0.2,result_5,300
312,0.5,0.49,0.2,result_5,312
324,0.51,0.49,0.2,result_5,324
336,0.5,0.48,0.2,result_5,336
348,0.51,0.49,0.2,result_5,348
360,0.51,0.48,0.2,result_5,360
372,0.51,0.49,0.2,result_5,372
384,0.51,0.49,0.2,result_5,384
396,0.51,0.48,0.2,result_5,396
408,0.51,0.48,0.2,result_5,408
420,0.51,0.48,0.2,result_5,420
432,0.51,0.49,0.2,result_5,432
444,0.51,0.48,0.2,result_5,444
456,0.51,0.48,0.2,result_5,456
468,0.51,0.49,0.2,result_5,468
480,0.51,0.49,0.2,result_5,480
492,0.51,0.48,0.2,result_5,492
504,0.51,0.48,0.2,result_5,504
516,0.51,0.49,0.2,result_5,516
528,0.51,0.49,0.2,result_5,528
540,0.51,0.48,0.2,result_5,540
552,0.51,0.48,0.2,result_5,552
564,0.5,0.48,0.2,result_5,564
576,0.51,0.48,0.2,result_5,576
588,0.51,0.48,0.2,result_5,588
600,0.51,0.48,0.2,result_5,600
612,0.51,0.48,0.2,result_5,612
624,0.51,0.49,0.2,result_5,624
636,0.51,0.49,0.2,result_5,636
648,0.51,0.49,0.2,result_5,648
660,0.51,0.49,0.2,result_5,660
672,0.51,0.49,0.2,result_5,672
684,0.51,0.49,0.2,result_5,684
696,0.51,0.49,0.2,result_5,696
708,0.51,0.49,0.2,result_5,708
720,0.51,0.48,0.2,result_5,720
732,0.51,0.49,0.2,result_5,732
744,0.52,0.49,0.2,result_5,744
