arch,grad_clip,norm_tgt,best_EV,final_EV,sec
512x256x128x64,100.0,True,0.3759,0.3759,460.5
512x256x128x64,1000.0,True,0.3759,0.3759,531.6
512x256x128x64,0.0,True,0.3759,0.3759,538.4
512x256x128x64,1.0,True,0.3649,0.3585,1276.1
512x256x128x64,100.0,False,0.3256,0.3256,554.7
512x256x128x64,1000.0,False,0.3246,0.3246,417.6
512x256x128x64,0.0,False,0.3186,0.3176,480.3
256x128,1.0,True,0.2952,0.2924,239.7
256x128,100.0,True,0.2924,0.2891,218.5
256x128,1000.0,True,0.2924,0.2891,185.1
256x128,0.0,True,0.2924,0.2891,300.2
512x256x128x64,1.0,False,0.2721,0.2508,937.8
128x64,1.0,True,0.269,0.2664,147.0
64x64,1.0,True,0.2607,0.2533,35.8
128x64,100.0,True,0.2546,0.2546,202.7
128x64,1000.0,True,0.2546,0.2546,124.5
128x64,0.0,True,0.2546,0.2546,114.7
64x64,100.0,True,0.2489,0.2484,34.5
64x64,1000.0,True,0.2489,0.2484,28.2
64x64,0.0,True,0.2489,0.2484,26.2
256x128,100.0,False,0.2481,0.2475,266.4
256x128,1.0,False,0.2475,0.2474,197.4
128x64,1.0,False,0.2405,0.2399,131.4
64x64,1.0,False,0.2389,0.2389,36.8
256x128,1000.0,False,0.2373,0.2373,219.3
256x128,0.0,False,0.2373,0.2373,240.5
128x64,100.0,False,0.2309,0.2308,175.2
128x64,1000.0,False,0.2233,0.2233,121.5
128x64,0.0,False,0.2233,0.2233,186.0
64x64,100.0,False,0.2224,0.2223,27.9
64x64,1000.0,False,0.218,0.218,27.9
64x64,0.0,False,0.218,0.218,28.5
